row_id,cgid,label,description
2228,16174,RO,Read Only
2229,16175,RO,Read Only
2230,16176,Res,Resident/Fellow/PA/NP
2231,16177,RO,Read Only
2232,16178,RT,Respiratory
2233,16179,Res,Resident/Fellow/PA/NP
2234,16180,Rehab,Rehabilitation
2235,16181,MD,0
2236,16182,CM,Case Manager
2237,16183,Rehab,Rehabilitation
2238,16184,RN,RN
2239,16185,MD,Attending
2240,16186,RN,RN
2241,16187,RN,RN
2242,16188,SW,Social Worker
2243,16189,RO,Read Only
2244,16190,RO,Read Only
2245,16191,MD,0
2246,16192,RO,Read Only
2247,16193,Res,Resident/Fellow/PA/NP
2248,16194,Res,Resident/Fellow/PA/NP
2249,16195,RO,Read Only
2250,16196,RPH,Pharmacist
2251,16197,CM,Case Manager
2252,16198,MDs,Resident/Fellow/PA/NP
2253,16199,MD,0
2254,16200,RN,RN
2255,16201,Res,Resident/Fellow/PA/NP
2256,16202,NP,Read Only
2257,16203,RO,Read Only
2258,16204,Res,Resident/Fellow/PA/NP
2259,16205,RO,Read Only
2260,16206,MD,0
2261,16207,MD,0
2262,16208,MD,0
2263,16209,Res,Read Only
2264,16210,RO,Read Only
2265,16211,RPh,Pharmacist
2266,16212,RO,Read Only
2267,16213,Rehab,Rehabilitation
2268,16214,Res,Resident/Fellow/PA/NP
2269,16215,MD,Attending
2270,16216,Res,Resident/Fellow/PA/NP
2271,16217,CM,Case Manager
2272,16218,SRT,0
2273,16219,Res,Resident/Fellow/PA/NP
2274,16220,MD,Attending
2275,16221,RO,Read Only
2276,16222,Res,Resident/Fellow/PA/NP
2277,16223,RD,Dietitian
2278,16224,PCT,PCT/NA
2279,16225,MD,0
2280,16226,Res,Resident/Fellow/PA/NP
2281,16227,RD,Dietitian
2282,16228,Res,Resident/Fellow/PA/NP
2283,16229,RN,RN
2284,16230,MD,0
2285,16231,RO,Read Only
2286,16232,RO,Read Only
2287,16233,CM,Case Manager
2288,16234,RN,RN
2289,16235,MD,0
2290,16236,CoWork,PCT/NA
2291,16237,MD,Attending
2292,16238,Res,Resident/Fellow/PA/NP
2293,16239,Res,Resident/Fellow/PA/NP
2294,16240,Admin,Administrator
2295,16241,Res,Resident/Fellow/PA/NP
2296,16242,RO,Read Only
2297,16243,Res,Resident/Fellow/PA/NP
2298,16244,RO,Read Only
2299,16245,Res,Resident/Fellow/PA/NP
2300,16246,RN,RN
2301,16247,Res,Resident/Fellow/PA/NP
2302,16248,PCT,PCT/NA
2303,16249,CoWker,0
2304,16250,MD,Read Only
2305,16251,Res,Resident/Fellow/PA/NP
2306,16252,UCO,0
2307,16253,MD,0
2308,16254,PC,Pastoral Care
2309,16255,RO,Read Only
2310,16256,Rehab,Rehabilitation
2311,16257,MD,Attending
2312,16258,Res,Resident/Fellow/PA/NP
2313,16259,Res,Resident/Fellow/PA/NP
2314,16260,Res,Resident/Fellow/PA/NP
2315,16261,RO,Read Only
2316,16262,Res,Resident/Fellow/PA/NP
2317,16263,Res,Resident/Fellow/PA/NP
2318,16264,RN,RN
2319,16265,RO,Read Only
2320,16266,RPH,Pharmacist
2321,16267,CM,Case Manager
2322,16268,co-wor,PCT/NA
2323,16269,Res,Resident/Fellow/PA/NP
2324,16270,Res,Resident/Fellow/PA/NP
2325,16271,Res,Resident/Fellow/PA/NP
2326,16272,Res,Resident/Fellow/PA/NP
2327,16273,RN,RN
2328,16274,RRT,0
2329,16275,RO,Read Only
2330,16276,MD,Resident/Fellow/PA/NP
2331,16277,MD,0
2332,16278,MD,0
2333,16279,MD,Resident/Fellow/PA/NP
2334,16280,MDs,Resident/Fellow/PA/NP
2335,16281,MDs,0
2336,16282,Res,Resident/Fellow/PA/NP
2337,16283,Res,Resident/Fellow/PA/NP
2338,16284,RN,RN
2339,16285,SW,Social Worker
2340,16286,MS,0
2341,16287,MDs,Read Only
2342,16288,RN,0
2343,16289,Res,Resident/Fellow/PA/NP
2344,16290,RO,Read Only
2345,16291,RO,Read Only
2346,16292,RO,Read Only
2347,16293,MD,Resident/Fellow/PA/NP
2348,16294,RN,RN
2349,16295,Rehab,Rehabilitation
2350,16296,RO,Read Only
2351,16297,RTH,Respiratory
2352,16298,RO,Read Only
891,14891,RN,RN
892,14892,MD,Read Only
893,14893,Res,Resident/Fellow/PA/NP
894,14894,Res,Resident/Fellow/PA/NP
895,14895,Res,Resident/Fellow/PA/NP
896,14896,MD,0
897,14897,Res,Resident/Fellow/PA/NP
898,14898,MD,Attending
899,14899,RT,Respiratory
900,14900,MD,Attending
901,14901,RN,RN
902,14902,Res,Resident/Fellow/PA/NP
903,14903,Res,Resident/Fellow/PA/NP
904,14904,RN,RN
905,14905,MD,0
906,14906,RN,RN
907,14907,Res,Resident/Fellow/PA/NP
908,14908,RO,Read Only
909,14909,Res,Resident/Fellow/PA/NP
910,14910,Res,Resident/Fellow/PA/NP
911,14911,MD,Attending
912,14912,MD,Attending
913,14913,RT,Respiratory
914,14914,Res,Resident/Fellow/PA/NP
915,14915,Res,Resident/Fellow/PA/NP
916,14916,RT,Respiratory
917,14917,Res,Resident/Fellow/PA/NP
918,14918,DI,0
919,14919,MD,Attending
920,14920,Res,Resident/Fellow/PA/NP
921,14921,MS,0
922,14922,RN,RN
923,14923,Rehab,Rehabilitation
924,14924,Res,Resident/Fellow/PA/NP
925,14925,MD,0
926,14926,SNP,0
927,14927,RN,0
928,14928,RO,Read Only
929,14929,RO,Read Only
930,14930,MD,Read Only
931,14931,RO,Read Only
932,14932,RO,Read Only
933,14933,Res,Resident/Fellow/PA/NP
934,14934,RN,RN
935,14935,MD,Attending
936,14936,RO,Read Only
937,14937,RO,Read Only
938,14938,ISOPS,Administrator
939,14939,RN,RN
940,14940,MD,0
941,14941,RO,Read Only
942,14942,RO,Read Only
943,14943,MD,0
944,14944,MD,0
945,14945,MD,Attending
946,14946,RN,RN
947,14947,Res,Resident/Fellow/PA/NP
948,14948,RRT,Read Only
949,14949,RN,RN
950,14950,MD,0
951,14951,SRT,0
952,14952,Res,Resident/Fellow/PA/NP
953,14953,RN,RN
954,14954,RN,RN
955,14955,Admin,Administrator
956,14956,Res,Resident/Fellow/PA/NP
957,14957,RN,Read Only
958,14958,MD,0
959,14959,RO,Read Only
960,14960,RO,Read Only
961,14961,Res,Resident/Fellow/PA/NP
962,14962,RN,0
963,14963,Res,Resident/Fellow/PA/NP
964,14964,MD,0
965,14965,Rehab,Rehabilitation
966,14966,RO,Read Only
967,14967,RN,0
968,14968,RN,Read Only
969,14969,RO,Read Only
970,14970,CoWker,0
971,14971,RN,0
972,14972,MD,0
973,14973,RN,RN
974,14974,RO,Read Only
975,14975,RO,Read Only
976,14976,Med ST,0
977,14977,PCT,PCT/NA
978,14978,MD,0
979,14979,ISSupp,Administrator
980,14980,RO,Read Only
981,14981,RO,Read Only
982,14982,RO,Read Only
983,14983,RPH,Pharmacist
984,14984,RO,Read Only
985,14985,RN,RN
986,14986,RN,RN
987,14987,RN,RN
988,14988,RN,RN
989,14989,RN,0
990,14990,RN,0
991,14991,CoWkr,0
992,14992,RN,RN
993,14993,RN,0
994,14994,CoWker,0
995,14995,RO,Read Only
996,14996,RN,0
997,14997,RN,RN
998,14998,RN,0
999,14999,MD,0
1000,15000,RO,Read Only
1001,15001,RN,RN
1002,15002,RNC,0
1003,15003,MD,0
1004,15004,RN,RN
1005,15005,PCA,0
1006,15006,RO,Read Only
1007,15007,MD,Read Only
1008,15008,MD,0
1009,15009,HMSIV,0
1010,15010,MedSty,0
1011,15011,MD,0
1012,15012,RRT,Respiratory
1013,15013,UA,0
1014,15014,PCT,RN
1015,15015,RO,Read Only
1016,15016,UC,0
1017,15017,RN,RN
1018,15018,RN,Read Only
1019,15019,RRT,0
1020,15020,RN,Read Only
1021,15021,RA,Research Assistant
1022,15022,Res,Resident/Fellow/PA/NP
1023,15023,RN,RN
1024,15024,RN,0
1025,15025,RN,RN
1026,15026,RO,Read Only
1027,15027,RN,0
1028,15028,RO,Read Only
1029,15029,RN,RN
1030,15030,Res,Resident/Fellow/PA/NP
1031,15031,RT,Respiratory
623,14554,MDs,Resident/Fellow/PA/NP
624,14555,CoWkr,0
625,14556,RO,Read Only
626,14557,RO,Read Only
627,14558,MD,0
628,14559,RPh,0
629,14560,Res,Resident/Fellow/PA/NP
630,14561,PCT,PCT/NA
631,14562,RN,0
632,14563,Rehab,Rehabilitation
633,14564,RO,Read Only
634,14565,RN,RN
635,14566,Rehab,Rehabilitation
636,14567,MD,Attending
637,14568,Res,Resident/Fellow/PA/NP
638,14569,RO,Read Only
639,14570,Res,Resident/Fellow/PA/NP
640,14571,PCT,PCT/NA
641,14572,Res,Resident/Fellow/PA/NP
642,14573,MD,Attending
643,14574,Res,Resident/Fellow/PA/NP
644,14575,Res,Resident/Fellow/PA/NP
645,14576,RN,RN
646,14577,Res,Resident/Fellow/PA/NP
647,14578,MD,Attending
648,14579,RO,Read Only
649,14580,Res,Resident/Fellow/PA/NP
650,14581,MD,0
651,14582,Res,Resident/Fellow/PA/NP
652,14583,RO,Read Only
653,14584,RN,RN
654,14585,Res,Resident/Fellow/PA/NP
655,14586,MD,0
656,14587,Res,Resident/Fellow/PA/NP
657,14588,RN,RN
658,14589,RO,Read Only
659,14590,RO,Read Only
660,14591,RO,Read Only
661,14592,UCO,UCO
662,14593,MD,0
663,14594,Res,Resident/Fellow/PA/NP
664,14595,Res,Resident/Fellow/PA/NP
665,14596,RO,Read Only
666,14597,RN,RN
667,14598,RNC,Read Only
668,14599,RO,Read Only
669,14600,RN,0
670,14601,RO,Read Only
671,14602,MDs,Resident/Fellow/PA/NP
672,14603,NEOB,UCO
673,14604,RN,0
674,14605,RN,RN
675,14606,RN,RN
676,14607,RN,RN
677,14608,RN,0
678,14609,RN,0
679,14610,RO,Read Only
680,14611,Res,Resident/Fellow/PA/NP
681,14612,RT,Respiratory
682,14613,MD,Read Only
683,14614,Res,Resident/Fellow/PA/NP
684,14615,Res,Resident/Fellow/PA/NP
685,14616,Res,Resident/Fellow/PA/NP
686,14617,Rehab,Rehabilitation
687,14618,Res,Resident/Fellow/PA/NP
688,14619,Res,Resident/Fellow/PA/NP
689,14620,MD,Attending
690,14621,RD,Dietitian
691,14622,UCO,UCO
692,14623,CM,Case Manager
693,14624,Res,Resident/Fellow/PA/NP
694,14625,Rn,RN
695,14626,RN,RN
696,14627,ISSupp,Administrator
697,14628,RO,Read Only
698,14629,MD,Resident/Fellow/PA/NP
699,14630,RRts,0
700,14631,PCT,PCT/NA
701,14632,RPH,Pharmacist
702,14633,RO,Read Only
703,14634,RO,Read Only
704,14635,RT,Respiratory
705,14636,RO,Read Only
706,14637,MD,Attending
707,14638,RN,RN
708,14639,Res,Resident/Fellow/PA/NP
709,14640,RN,RN
710,14641,Rehab,Rehabilitation
711,14642,RT,Respiratory
712,14643,Res,Resident/Fellow/PA/NP
713,14644,Res,Resident/Fellow/PA/NP
714,14645,RD,Dietitian
715,14646,Res,Resident/Fellow/PA/NP
716,14647,Rehab,Rehabilitation
717,14648,Res,Resident/Fellow/PA/NP
718,14649,Res,Resident/Fellow/PA/NP
719,14650,PCT,PCT/NA
720,14651,Res,Resident/Fellow/PA/NP
721,14652,Res,Resident/Fellow/PA/NP
722,14653,RO,Read Only
723,14654,Res,Resident/Fellow/PA/NP
724,14655,RT,Respiratory
725,14656,Res,Resident/Fellow/PA/NP
726,14657,RN,RN
727,14658,RN,0
728,14659,MD,Attending
729,14660,RO,Read Only
730,14661,RO,Read Only
731,14662,MDs,Resident/Fellow/PA/NP
732,14663,MD,0
733,14664,MD,Read Only
734,14665,MD,0
735,14666,Res,Resident/Fellow/PA/NP
736,14667,MD,Read Only
737,14668,RO,Read Only
738,14669,RO,Read Only
739,14670,MD,0
740,14671,RO,Read Only
741,14672,RO,Read Only
742,14673,MDs,Resident/Fellow/PA/NP
743,14674,Studen,0
744,14675,MDs,Resident/Fellow/PA/NP
745,14676,Res,Resident/Fellow/PA/NP
746,14677,Res,Resident/Fellow/PA/NP
747,14678,RN,RN
748,14679,Res,Resident/Fellow/PA/NP
749,14680,MD,Resident/Fellow/PA/NP
750,14681,Res,Resident/Fellow/PA/NP
751,14682,Res,Resident/Fellow/PA/NP
752,14683,RN,RN
753,14684,Res,Resident/Fellow/PA/NP
754,14685,Res,Resident/Fellow/PA/NP
288,14686,Res,Resident/Fellow/PA/NP
289,14687,SW,Social Worker
290,14688,Rehab,Rehabilitation
291,14689,UCO,UCO
292,14690,Res,Resident/Fellow/PA/NP
293,14691,Res,Resident/Fellow/PA/NP
294,14692,Rehab,Rehabilitation
295,14693,MD,Attending
296,14694,RO,Read Only
297,14695,RN,RN
298,14696,RO,Read Only
299,14697,MD,0
300,14698,RO,Read Only
301,14699,RO,Read Only
302,14700,RRT,Respiratory
303,14701,NP,0
304,14702,MD,0
305,14703,Res,Resident/Fellow/PA/NP
306,14704,Res,Resident/Fellow/PA/NP
307,14705,RO,Read Only
308,14706,RN,RN
309,14707,Rehab,Rehabilitation
310,14708,MD,Read Only
311,14709,Res,Resident/Fellow/PA/NP
312,14710,RN,RN
313,14711,RO,Read Only
314,14712,RN,0
315,14713,RO,Read Only
316,14714,RN,RN
317,14715,MD,0
318,14716,RN,0
319,14717,RN,0
320,14718,MDs,Resident/Fellow/PA/NP
321,14719,RN,RN
322,14720,LICSW,0
323,14721,RN,Read Only
324,14722,MD,Read Only
325,14723,U A,0
326,14724,RO,Read Only
327,14725,RN,0
328,14726,RN,0
329,14727,Res,Resident/Fellow/PA/NP
330,14728,Res,Resident/Fellow/PA/NP
331,14729,Res,Resident/Fellow/PA/NP
332,14730,MD,0
333,14731,Res,Resident/Fellow/PA/NP
334,14732,RD,Dietitian
335,14733,MD,0
336,14734,StPHa,0
337,14735,Res,Resident/Fellow/PA/NP
338,14736,RN,RN
339,14737,Res,Resident/Fellow/PA/NP
340,14738,RPH,Pharmacist
341,14739,MD,Resident/Fellow/PA/NP
342,14740,RN,0
343,14741,MS,0
344,14742,RO,Read Only
345,14743,RRT,0
346,14744,Rehab,Rehabilitation
347,14745,Res,Resident/Fellow/PA/NP
348,14746,RO,Read Only
349,14747,Res,Resident/Fellow/PA/NP
350,14748,RO,Read Only
351,14749,Res,Resident/Fellow/PA/NP
352,14750,Res,Resident/Fellow/PA/NP
353,14751,RN,RN
354,14752,MD,Resident/Fellow/PA/NP
355,14753,RO,Read Only
356,14754,RO,Read Only
755,14755,RO,Read Only
756,14756,RO,Read Only
757,14757,RN,RN
758,14758,RN,RN
759,14759,RN,RN
760,14760,Rehab,Rehabilitation
761,14761,Res,Resident/Fellow/PA/NP
762,14762,RN,0
763,14763,RN,RN
764,14764,RD,Dietitian
765,14765,Res,Resident/Fellow/PA/NP
766,14766,Res,Resident/Fellow/PA/NP
767,14767,Res,Resident/Fellow/PA/NP
768,14768,RN,RN
769,14769,Res,Resident/Fellow/PA/NP
770,14770,MD,Resident/Fellow/PA/NP
771,14771,CoOPSt,0
772,14772,RN,RN
773,14773,NEOB,0
774,14774,RN,0
775,14775,Res,Resident/Fellow/PA/NP
776,14776,PCT,PCT/NA
777,14777,MD,Attending
778,14778,Res,Resident/Fellow/PA/NP
779,14779,SW,Social Worker
780,14780,MedStu,0
781,14781,MD,Attending
782,14782,Res,Resident/Fellow/PA/NP
783,14783,Rehab,Rehabilitation
784,14784,RN,RN
785,14785,Res,Resident/Fellow/PA/NP
786,14786,MD,0
787,14787,RN,RN
788,14788,Res,Resident/Fellow/PA/NP
789,14789,Rehab,Rehabilitation
790,14790,Res,Resident/Fellow/PA/NP
791,14791,RO,Read Only
792,14792,PCT,PCT/NA
793,14793,RO,Read Only
794,14794,MD,Resident/Fellow/PA/NP
795,14795,RO,Read Only
796,14796,RO,Read Only
797,14797,MD,0
798,14798,RPH,Pharmacist
799,14799,RA,Research Assistant
800,14800,MedStu,0
801,14801,RN,RN
802,14802,RN,RN
803,14803,Rehab,Rehabilitation
804,14804,RN,RN
805,14805,Res,Resident/Fellow/PA/NP
806,14806,RO,Read Only
807,14807,MD,0
808,14808,RO,Read Only
809,14809,RRT,0
810,14810,RO,Read Only
811,14811,RN,RN
812,14812,Res,Resident/Fellow/PA/NP
813,14813,RO,Read Only
814,14814,RO,Read Only
815,14815,RRT,Read Only
816,14816,RNC,0
817,14817,RN,Read Only
818,14818,RN,0
819,14819,RPh,0
820,14820,MS,0
821,14821,PT,0
822,14822,MD,0
823,14823,MD,0
824,14824,Rehab,Rehabilitation
825,14825,RO,Read Only
826,14826,MD,0
827,14827,MD,0
828,14828,RN,Read Only
829,14829,MDs,Read Only
830,14830,RO,Read Only
831,14831,Admin,Administrator
832,14832,RO,Read Only
833,14833,MD,Resident/Fellow/PA/NP
834,14834,RN,0
835,14835,RO,Read Only
836,14836,RO,Read Only
837,14837,MD,0
838,14838,MD,Resident/Fellow/PA/NP
839,14839,MDs,Resident/Fellow/PA/NP
840,14840,MedSt,0
841,14841,RO,Read Only
842,14842,MS,Resident/Fellow/PA/NP
843,14843,MD,0
844,14844,MDs,Resident/Fellow/PA/NP
845,14845,RO,Read Only
846,14846,Intern,Resident/Fellow/PA/NP
847,14847,MDs,0
848,14848,MD,0
849,14849,RO,Read Only
850,14850,StNurs,0
851,14851,MD,0
852,14852,RO,Read Only
853,14853,Res,Resident/Fellow/PA/NP
854,14854,MD,0
855,14855,RN,0
856,14856,RO,Read Only
857,14857,PCA,0
858,14858,RO,Read Only
859,14859,RN,RN
860,14860,rn,0
861,14861,MD,0
862,14862,RRT,0
863,14863,RN,0
864,14864,MD,0
865,14865,RN,0
866,14866,MD,0
867,14867,MDs,0
868,14868,MD,0
869,14869,Res,Resident/Fellow/PA/NP
870,14870,RT,Respiratory
871,14871,0,0
872,14872,RN,0
873,14873,RO,Read Only
874,14874,RO,Read Only
875,14875,RO,Read Only
876,14876,Res,Resident/Fellow/PA/NP
877,14877,Res,Resident/Fellow/PA/NP
878,14878,Res,Resident/Fellow/PA/NP
879,14879,Res,Resident/Fellow/PA/NP
880,14880,RO,Read Only
881,14881,RT,Respiratory
882,14882,RO,Read Only
883,14883,Res,Resident/Fellow/PA/NP
884,14884,Res,Resident/Fellow/PA/NP
885,14885,UCO,UCO
886,14886,Res,Resident/Fellow/PA/NP
887,14887,MD,0
888,14888,MD,0
889,14889,CoWker,0
890,14890,Res,Resident/Fellow/PA/NP
226,14001,RO,Read Only
227,14002,RO,Read Only
228,14003,0,0
229,14004,AR,0
230,14005,MD,0
231,14006,MD,0
232,14007,MD,Read Only
233,14008,RO,Read Only
234,14009,MDs,0
235,14010,MDs,Resident/Fellow/PA/NP
236,14011,RO,Read Only
237,14012,MedSt,0
238,14013,RO,Read Only
239,14014,RO,Read Only
240,14015,RO,Read Only
241,14016,RO,Read Only
242,14017,MD,0
243,14018,RO,Read Only
244,14019,Res,Resident/Fellow/PA/NP
245,14020,RN,0
246,14021,Res,Resident/Fellow/PA/NP
247,14022,Res,Resident/Fellow/PA/NP
248,14023,RN,RN
249,14024,MD,Attending
250,14025,MD,0
251,14026,MDs,0
252,14027,Res,Resident/Fellow/PA/NP
253,14028,Res,Resident/Fellow/PA/NP
254,14029,MD,0
255,14030,RO,Read Only
256,14031,RO,Read Only
257,14032,MD,Read Only
258,14033,RT,Respiratory
259,14034,Res,Resident/Fellow/PA/NP
260,14035,RO,Read Only
261,14036,RO,Read Only
262,14037,PHD,Attending
263,14038,Res,Resident/Fellow/PA/NP
264,14039,RO,Read Only
265,14040,MD,0
266,14041,MD,0
267,14042,RO,Read Only
268,14043,MD,0
269,14044,RO,Read Only
270,14045,MD,Attending
271,14046,RO,Read Only
272,14047,RO,Read Only
273,14048,RO,Read Only
274,14049,MD,0
275,14050,MD,0
276,14051,MD,0
277,14052,MD,0
278,14053,RO,Read Only
279,14054,MD,Resident/Fellow/PA/NP
280,14055,MD,0
281,14056,MDs,Resident/Fellow/PA/NP
282,14057,MD,0
283,14058,Dr,Read Only
284,14059,RO,Read Only
285,14060,RO,Read Only
286,14061,MD,Read Only
287,14062,MD,0
1,14063,Res,Resident/Fellow/PA/NP
2,14064,RO,Read Only
3,14065,MD,0
4,14066,RO,Read Only
5,14067,MD,0
6,14068,MD,0
7,14069,Rehab,Rehabilitation
8,14070,RO,Read Only
9,14071,RO,Read Only
10,14072,MD,Read Only
11,14073,MedStu,0
12,14074,RO,Read Only
13,14075,RO,Read Only
14,14076,RO,Read Only
15,14077,0,0
16,14078,RN,RN
17,14079,Res,Resident/Fellow/PA/NP
18,14080,MD,Attending
19,14081,SW,Social Worker
20,14082,RO,Read Only
21,14083,RT,Respiratory
22,14084,RN,RN
23,14085,Res,Resident/Fellow/PA/NP
24,14086,Res,Resident/Fellow/PA/NP
25,14087,Res,Resident/Fellow/PA/NP
