row_id,icd9_code,short_title,long_title,recode,super_category
1,01716,Erythem nod tb-oth test,"Erythema nodosum with hypersensitivity reaction in tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
2,01720,TB periph lymph-unspec,"Tuberculosis of peripheral lymph nodes, unspecified",0,infectious
3,01721,TB periph lymph-no exam,"Tuberculosis of peripheral lymph nodes, bacteriological or histological examination not done",0,infectious
4,01722,TB periph lymph-exam unk,"Tuberculosis of peripheral lymph nodes, bacteriological or histological examination unknown (at present)",0,infectious
5,01723,TB periph lymph-micro dx,"Tuberculosis of peripheral lymph nodes, tubercle bacilli found (in sputum) by microscopy",0,infectious
6,01724,TB periph lymph-cult dx,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
7,01725,TB periph lymph-histo dx,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
8,01726,TB periph lymph-oth test,"Tuberculosis of peripheral lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
9,01730,TB of eye-unspec,"Tuberculosis of eye, unspecified",0,infectious
10,01731,TB of eye-no exam,"Tuberculosis of eye, bacteriological or histological examination not done",0,infectious
11,01732,TB of eye-exam unkn,"Tuberculosis of eye, bacteriological or histological examination unknown (at present)",0,infectious
12,01733,TB of eye-micro dx,"Tuberculosis of eye, tubercle bacilli found (in sputum) by microscopy",0,infectious
13,01734,TB of eye-cult dx,"Tuberculosis of eye, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
14,01735,TB of eye-histo dx,"Tuberculosis of eye, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
15,01736,TB of eye-oth test,"Tuberculosis of eye, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
16,01740,TB of ear-unspec,"Tuberculosis of ear, unspecified",0,infectious
17,01741,TB of ear-no exam,"Tuberculosis of ear, bacteriological or histological examination not done",0,infectious
18,01742,TB of ear-exam unkn,"Tuberculosis of ear, bacteriological or histological examination unknown (at present)",0,infectious
19,01743,TB of ear-micro dx,"Tuberculosis of ear, tubercle bacilli found (in sputum) by microscopy",0,infectious
20,01744,TB of ear-cult dx,"Tuberculosis of ear, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
21,01745,TB of ear-histo dx,"Tuberculosis of ear, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
22,01746,TB of ear-oth test,"Tuberculosis of ear, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
23,01750,TB of thyroid-unspec,"Tuberculosis of thyroid gland, unspecified",0,infectious
24,01751,TB of thyroid-no exam,"Tuberculosis of thyroid gland, bacteriological or histological examination not done",0,infectious
25,01752,TB of thyroid-exam unkn,"Tuberculosis of thyroid gland, bacteriological or histological examination unknown (at present)",0,infectious
26,01753,TB of thyroid-micro dx,"Tuberculosis of thyroid gland, tubercle bacilli found (in sputum) by microscopy",0,infectious
