row_id,itemid,label,fluid,category,loinc_code
1,50800,specimen type,blood,blood gas,
2,50801,alveolar-arterial gradient,blood,blood gas,19991-9
3,50802,base excess,blood,blood gas,11555-0
4,50803,"calculated bicarbonate, whole blood",blood,blood gas,1959-6
5,50804,calculated total co2,blood,blood gas,34728-6
6,50805,carboxyhemoglobin,blood,blood gas,20563-3
7,50806,"chloride, whole blood",blood,blood gas,2069-3
8,50807,comments,blood,blood gas,
9,50808,free calcium,blood,blood gas,1994-3
10,50809,glucose,blood,blood gas,2339-0
11,50810,"hematocrit, calculated",blood,blood gas,20570-8
12,50811,hemoglobin,blood,blood gas,718-7
13,50812,intubated,blood,blood gas,
14,50813,lactate,blood,blood gas,32693-4
15,50814,methemoglobin,blood,blood gas,2614-6
16,50815,o2 flow,blood,blood gas,3151-8
17,50816,oxygen,blood,blood gas,19994-3
18,50817,oxygen saturation,blood,blood gas,20564-1
19,50818,pco2,blood,blood gas,11557-6
20,50819,peep,blood,blood gas,20077-4
21,50820,ph,blood,blood gas,11558-4
22,50821,po2,blood,blood gas,11556-8
23,50822,"potassium, whole blood",blood,blood gas,6298-4
24,50823,required o2,blood,blood gas,
25,50824,"sodium, whole blood",blood,blood gas,2947-0
26,50825,temperature,blood,blood gas,
27,50826,tidal volume,blood,blood gas,20112-9
28,50827,ventilation rate,blood,blood gas,
29,50828,ventilator,blood,blood gas,
30,50829,fluid type,other body fluid,blood gas,14725-6
31,50830,"pco2, body fluid",other body fluid,blood gas,2023-0
32,50831,ph,other body fluid,blood gas,2748-2
33,50832,"po2, body fluid",other body fluid,blood gas,2706-0
34,50833,potassium,other body fluid,blood gas,2821-7
35,50834,"sodium, body fluid",other body fluid,blood gas,2950-4
36,50835,"albumin, ascites",ascites,chemistry,1749-1
37,50836,"amylase, ascites",ascites,chemistry,1797-0
38,50837,"bicarbonate, ascites",ascites,chemistry,54360-3
39,50838,"bilirubin, total, ascites",ascites,chemistry,14422-0
40,50839,"chloride, ascites",ascites,chemistry,33366-6
41,50840,"cholesterol, ascites",ascites,chemistry,14441-0
42,50841,"creatinine, ascites",ascites,chemistry,12191-3
43,50842,"glucose, ascites",ascites,chemistry,2347-3
44,50843,"lactate dehydrogenase, ascites",ascites,chemistry,2531-2
45,50844,"lipase, ascites",ascites,chemistry,32722-1
46,50845,"miscellaneous, ascites",ascites,chemistry,
47,50846,"osmolality, ascites",ascites,chemistry,2691-4
48,50847,"potassium, ascites",ascites,chemistry,49789-1
49,50848,"sodium, ascites",ascites,chemistry,49790-9
50,50849,"total protein, ascites",ascites,chemistry,2883-7
51,50850,"triglycerides, ascites",ascites,chemistry,14447-7
52,50851,"urea nitrogen, ascites",ascites,chemistry,12265-5
53,50852,% hemoglobin a1c,blood,chemistry,4548-4
54,50853,25-oh vitamin d,blood,chemistry,
55,50854,absolute a1c,blood,chemistry,4548-4
56,50855,absolute hemoglobin,blood,chemistry,718-7
57,50856,acetaminophen,blood,chemistry,3297-9
58,50857,acetone,blood,chemistry,5567-3
59,50858,acid phosphatase,blood,chemistry,1715-2
60,50859,"acid phosphatase, non-prostatic",blood,chemistry,
61,50860,"afp, maternal screen",blood,chemistry,
62,50861,alanine aminotransferase (alt),blood,chemistry,1742-6
63,50862,albumin,blood,chemistry,1751-7
64,50863,alkaline phosphatase,blood,chemistry,6768-6
65,50864,alpha-fetoprotein,blood,chemistry,1834-1
66,50865,amikacin,blood,chemistry,
67,50866,ammonia,blood,chemistry,16362-6
68,50867,amylase,blood,chemistry,1798-8
69,50868,anion gap,blood,chemistry,1863-0
70,50869,anti-dgp (iga/igg),blood,chemistry,
71,50870,"anti-gliadin antibody, iga",blood,chemistry,7893-1
72,50871,anti-mitochondrial antibody,blood,chemistry,14236-4
73,50872,anti-neutrophil cytoplasmic antibody,blood,chemistry,35279-9
74,50873,anti-nuclear antibody,blood,chemistry,5047-6
75,50874,"anti-nuclear antibody, titer",blood,chemistry,8061-4
76,50875,anti-parietal cell antibody,blood,chemistry,26969-6
77,50876,anti-smooth muscle antibody,blood,chemistry,14252-1
78,50877,anti-thyroglobulin antibodies,blood,chemistry,5380-1
79,50878,asparate aminotransferase (ast),blood,chemistry,1920-8
80,50879,barbiturate screen,blood,chemistry,3376-1
81,50880,benzodiazepine screen,blood,chemistry,42662-7
82,50881,beta-2 microglobulin,blood,chemistry,32731-2
83,50882,bicarbonate,blood,chemistry,1963-8
84,50883,"bilirubin, direct",blood,chemistry,1968-7
85,50884,"bilirubin, indirect",blood,chemistry,1971-1
86,50885,"bilirubin, total",blood,chemistry,1975-2
87,50886,blood culture hold,blood,chemistry,
88,50887,blue top hold,blood,chemistry,
89,50888,blue top hold frozen,blood,chemistry,
90,50889,c-reactive protein,blood,chemistry,1988-5
91,50890,c3,blood,chemistry,4485-9
92,50891,c4,blood,chemistry,4498-2
93,50892,ca-125,blood,chemistry,10334-1
94,50893,"calcium, total",blood,chemistry,2000-8
95,50894,calculated free testosterone,blood,chemistry,2991-8
96,50895,calculated tbg,blood,chemistry,3027-0
97,50896,calculated thyroxine (t4) index,blood,chemistry,32215-6
98,50897,call,blood,chemistry,
